Fecha,Gasto/Ingreso/Ahorro,Categoria,Subcategoria,Descripcion,Monto,,,Banco,Ubicación,Balance,Activos,,Categoria,Valor,,,,
13/3/2026,Gasto,TC,Moto,Tecnomecanica ," $  223,700.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Comida,Laura," $  13,000.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Fulvo,Cancha," $  12,000.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Comida,Pollo," $  50,500.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Moto,Cinta," $  10,000.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Laura,Comida," $  16,600.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Laura,Spa," $  75,000.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,Personal,Comida,Corrientazo," $  15,000.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,TC,Personal,Drogueria," $  12,900.00 ",,,,,,,,,,,,,
15/3/2026,Gasto,TC,Personal,Comida," $  43,050.00 ",,,,,,,,,,,,,
16/3/2026,Gasto,Personal,Tigo,Madre," $  53,900.00 ",,,,,,,,,,,,,
16/3/2026,Gasto,Personal,Tigo,Yo," $  53,900.00 ",,,,,,,,,,,,,
16/3/2026,Ingreso,Ahorro Lulo,Liquidez,Cashback, $  143.32 ,,,,,,,,,,,,,
16/3/2026,Ingreso,Ahorro Lulo,Liquidez,Ajuste," $  20,400.00 ",,,,,,,,,,,,,
16/3/2026,Gasto,TC,Ajuste,Ajuste, $  878.50 ,,,,,,,,,,,,,
18/3/2026,Gasto,Personal,Fulvo,Fulvo," $  15,000.00 ",,,,,,,,,,,,,
18/3/2026,Gasto,Personal,Fulvo,Fulvo," $  8,000.00 ",,,,,,,,,,,,,
18/3/2026,Gasto,Personal,Fulvo,Fulvo," $  6,000.00 ",,,,,,,,,,,,,
18/3/2026,Gasto,Personal,Fulvo,Fulvo," $  14,000.00 ",,,,,,,,,,,,,
18/3/2026,Gasto,Personal,Fulvo,Fulvo," $  21,000.00 ",,,,,,,,,,,,,
19/3/2026,Ahorro,Ahorro Lulo,LuloX,$50USD," $  50,000.00 ",,,,,,,,,,,,,
19/3/2026,Gasto,TC,Moto,Tanqueada," $  36,446.00 ",,,,,,,,,,,,,
19/3/2026,Gasto,TC,Ajuste,Ajuste," $  66,127.50 ",,,,,,,,,,,,,
20/3/2026,Gasto,Personal,Regalo,Laura," $  50,000.00 ",,,,,,,,,,,,,
20/3/2026,Gasto,Personal,Laura,Spa," $  74,900.00 ",,,,,,,,,,,,,
20/3/2026,Gasto,Personal,Comida,Laura," $  88,300.00 ",,,,,,,,,,,,,
20/3/2026,Gasto,Personal,Comida,Laura," $  65,500.00 ",,,,,,,,,,,,,
21/3/2026,Gasto,Personal,Internet,ETB," $  111,670.00 ",,,,,,,,,,,,,
22/3/2026,Gasto,Personal,Abuelita,Gaseosa," $  5,700.00 ",,,,,,,,,,,,,
23/3/2026,Gasto,Personal,Terapia,Terapia," $  38,000.00 ",,,,,,,,,,,,,
23/3/2026,Gasto,Personal,Ajuste,Ajuste," $  35,000.00 ",,,,,,,,,,,,,
24/3/2026,Gasto,Personal ,Favor,Santi Zuluaga," $  3,000.00 ",,,,,,,,,,,,,
26/3/2026,Gasto,TC,WoW,Suscripcion," $  62,075.65 ",,,,,,,,,,,,,
27/3/2026,Gasto,Personal,Regalo,Laura," $  18,000.00 ",,,,,,,,,,,,,
27/3/2026,Gasto,TC,Personal,Laura," $  50,800.00 ",,,,,,,,,,,,,
28/3/2026,Gasto,Personal,Comida,Laura," $  7,500.00 ",,,,,,,,,,,,,
29/3/2026,Gasto,Personal,Comida,Move in," $  72,000.00 ",,,,,,,,,,,,,
30/3/2026,Ahorro,Ahorro Lulo,Bolsillo,Apartamento," $  1,697,393.00 ",,,,,,,,,,,,,
30/3/2026,Ingreso,Ahorro Lulo,Liquidez,Liquidez," $  1,929,951.00 ",,,,,,,,,,,,,
30/3/2026,Gasto,TC,Ajuste,Ajuste," $  1,162.00 ",,,,,,,,,,,,,
31/3/2026,Gasto,Personal,Madre,Servicios," $  17,060.00 ",,,,,,,,,,,,,
31/3/2026,Gasto,Personal,Madre,Servicios," $  88,590.00 ",,,,,,,,,,,,,
31/3/2026,Ingreso,Ahorro Lulo,Liquidez,Madre," $  159,369.00 ",,,,,,,,,,,,,
31/3/2026,Ahorro,Ahorro Lulo,LuloX,USDC," $  150,000.00 ",,,,,,,,,,,,,
31/3/2026,Ahorro,Ahorro Lulo,LuloX,Bitcoin," $  400,000.00 ",,,,,,,,,,,,,
31/3/2026,Ahorro,Ahorro Lulo,LuloX,Solana," $  250,000.00 ",,,,,,,,,,,,,
31/3/2026,Gasto,TC,Suscripción ,Platzi," $  199,975.00 ",,,,,,,,,,,,,
1/4/2026,Ingreso,Ahorro Lulo,Liquidez,Tercer piso," $  126,000.00 ",,,,,,,,,,,,,
1/4/2026,Gasto,Personal,Laura,Uñas," $  50,000.00 ",,,,,,,,,,,,,
1/4/2026,Gasto,Personal,Personal,Corte," $  23,000.00 ",,,,,,,,,,,,,
1/4/2026,Gasto,Personal,Viaje,Birria," $  65,100.00 ",,,,,,,,,,,,,
1/4/2026,Gasto,TC,Personal ,Comida," $  49,900.00 ",,,,,,,,,,,,,
1/4/2026,Gasto,TC,Tarjeta,Seguro, $  688.33 ,,,,,,,,,,,,,
1/4/2026,Gasto,TC,Suscripción ,Spotify ," $  18,500.00 ",,,,,,,,,,,,,
2/4/2026,Gasto,Personal,Aceite,Viaje," $  26,500.00 ",,,,,,,,,,,,,
4/4/2026,Gasto,Personal,Comida,Trago," $  55,500.00 ",,,,,,,,,,,,,
6/4/2026,Gasto,Deuda,Pago,TC," $  2,043,861.70 ",,,,,,,,,,,,,
6/4/2026,Gasto,TC,Personal,KFC," $  88,800.00 ",,,,,,,,,,,,,
6/4/2026,Gasto,TC,Mercado,Alkosto," $  537,518.00 ",,,,,,,,,,,,,
7/4/2026,Gasto,Personal,Madre,Servicios," $  116,240.00 ",,,,,,,,,,,,,
7/4/2026,Gasto,Personal,Madre,Servicios," $  9,360.00 ",,,,,,,,,,,,,
7/4/2026,Gasto,TC,Regalo,Lui," $  18,000.00 ",,,,,,,,,,,,,
7/4/2026,Ingreso,Ahorro Lulo,Liquidez,Ajuste, $  164.58 ,,,,,,,,,,,,,
